idRequerimento,totalRegistros,numeroProtocolo,numeroProcesso,numeroRegistro,nomeValorMobiliario,tipoDeOferta,statusDaOferta,nomeEmissor,cnpjEmissor,nomeCoordenadorLider,cnpjCoordenadorLider,valorTotalEmReais,data,nomeTipoRequerimento,vasoComunicante,possuiBook,registroAutomatico,razaoSocialFundoAssociado
21519,4242,2234/2025,SRE/2233/2025,CVM/SRE/AUT/CRI/PRI/2025/413,Certificados de Recebíveis Imobiliários,PRIMARIA,Registro Concedido,OPEA SECURITIZADORA S.A.,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,02.773.542/0001-22,"44.900.000,0000",23/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,
21119,4242,1865/2025,SRE/1865/2025,CVM/SRE/AUT/CRI/PRI/2025/409;CVM/SRE/AUT/CRI/PRI/2025/410;CVM/SRE/AUT/CRI/PRI/2025/411;CVM/SRE/AUT/CRI/PRI/2025/412,Certificados de Recebíveis Imobiliários,PRIMARIA,Oferta Encerrada,OPEA SECURITIZADORA S.A.,02.773.542/0001-22,XP INVESTIMENTOS CCTVM S.A.,02.332.886/0001-04,"600.000.000,0000",23/07/2025,OPD Aut Público em Geral ou Qualificado - com bookbuilding,True,True,True,
21103,4242,1867/2025,SRE/1867/2025,CVM/SRE/AUT/CRA/PRI/2025/121;CVM/SRE/AUT/CRA/PRI/2025/122;CVM/SRE/AUT/CRA/PRI/2025/123;CVM/SRE/AUT/CRA/PRI/2025/124,Certificados de Recebíveis do Agronegócio,PRIMARIA,Oferta Encerrada,ECO. SEC. DTOS. CREDIT. AGRONEGÓCIOS S/A,10.753.164/0001-43,BANCO SAFRA S/A,58.160.789/0001-28,"700.000.000,0000",22/07/2025,OPD Aut Público em Geral ou Qualificado - com bookbuilding,True,True,True,
21520,4242,2228/2025,SRE/2227/2025,CVM/SRE/AUT/FDC/PRI/2025/1149,Cotas de FIDC,PRIMARIA,Oferta Encerrada,JP MM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS DE  RESPONSABILIDADE LIMITADA,31.495.065/0001-89,BANCO VOTORANTIM S.A.,59.588.111/0001-03,"30.000.000,0000",22/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,JP MM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS DE  RESPONSABILIDADE LIMITADA
21518,4242,2227/2025,SRE/2226/2025,CVM/SRE/AUT/FDC/PRI/2025/1147;CVM/SRE/AUT/FDC/PRI/2025/1148,Cotas de FIDC,PRIMARIA,Registro Concedido,PRIMO CAPITAL II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,53.374.563/0001-06,BANCO DAYCOVAL S.A.,62.232.889/0001-90,"32.800.000,0600",22/07/2025,OPD Aut Público em Geral ou Qualificado - sem bookbuilding,False,False,True,PRIMO CAPITAL II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA
21517,4242,2226/2025,SRE/2225/2025,CVM/SRE/AUT/FDC/PRI/2025/1146,Cotas de FIDC,PRIMARIA,Registro Concedido,PRIMO CAPITAL II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,53.374.563/0001-06,BANCO DAYCOVAL S.A.,62.232.889/0001-90,"4.320.000,0000",22/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,PRIMO CAPITAL II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA
21034,4242,1790/2025,SRE/1790/2025,CVM/SRE/AUT/FDC/PRI/2025/1145,Cotas de FIDC,PRIMARIA,Oferta Encerrada,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ASAAS III - RESPONSABILIDADE LIMITADA,61.292.200/0001-50,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"95.000.000,0000",22/07/2025,OPD Aut Profissional - com bookbuilding,False,True,True,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ASAAS III - RESPONSABILIDADE LIMITADA
21502,4242,2225/2025,SRE/2224/2025,CVM/SRE/AUT/CRI/PRI/2025/408,Certificados de Recebíveis Imobiliários,PRIMARIA,Registro Concedido,CIA PROVINCIA DE SECURITIZAÇÃO,04.200.649/0001-07,BANCO FATOR S/A,33.644.196/0001-06,"69.000.000,0000",22/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,
21507,4242,2224/2025,SRE/2223/2025,CVM/SRE/AUT/FIP/PRI/2025/176;CVM/SRE/AUT/FIP/PRI/2025/177,Cotas de FIP,PRIMARIA,Registro Concedido,STRIVO PROSPERA FUNDO DE INVESTIMENTO EM PARTICIPAÇÃO MULTIESTRATÉGIA,50.477.927/0001-95,REAG TRUST ADMINISTRADORA DE RECURSOS LTDA.,23.863.529/0001-34,"7.000.000,0000",22/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,STRIVO PROSPERA FUNDO DE INVESTIMENTO EM PARTICIPAÇÃO MULTIESTRATÉGIA
21504,4242,2223/2025,SRE/2222/2025,CVM/SRE/AUT/CRA/PRI/2025/120,Certificados de Recebíveis do Agronegócio,PRIMARIA,Oferta Encerrada,OPEA SECURITIZADORA S.A.,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,02.773.542/0001-22,"60.000.000,0000",22/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,
