idRequerimento,totalRegistros,numeroProtocolo,numeroProcesso,numeroRegistro,nomeValorMobiliario,tipoDeOferta,statusDaOferta,nomeEmissor,cnpjEmissor,nomeCoordenadorLider,cnpjCoordenadorLider,valorTotalEmReais,data,nomeTipoRequerimento,vasoComunicante,possuiBook,registroAutomatico
21972,4246,2625/2025,SRE/2623/2025,CVM/SRE/AUT/DEB/PRI/2025/647,Debêntures,PRIMARIA,Oferta Encerrada,ITAUSA S.A.,61.532.644/0001-15,BTG PACTUAL INVESTMENT BANKING LTDA.,46.482.072/0001-13,"1.000.000.000,0000",11/09/2025,OPD Aut Profissional - com bookbuilding - EGEM ou EFRF,False,True,True
21984,4246,2612/2025,SRE/2610/2025,CVM/SRE/AUT/DEB/PRI/2025/646,Debêntures,PRIMARIA,Oferta Encerrada,LOCALIZA  FLEET S.A.,02.286.479/0001-08,BANCO BRADESCO BBI S.A.,06.271.464/0001-19,"1.500.000.000,0000",10/09/2025,OPD Aut Profissional - com bookbuilding,False,True,True
21899,4246,2550/2025,SRE/2549/2025,CVM/SRE/AUT/DEB/PRI/2025/645,Debêntures,PRIMARIA,Oferta Encerrada,FERRARI AGROINDUSTRIA S/A,54.846.951/0001-05,BANCO VOTORANTIM S.A.,59.588.111/0001-03,"150.000.000,0000",08/09/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,True,True,True
21939,4246,2569/2025,SRE/2568/2025,CVM/SRE/AUT/DEB/PRI/2025/642,Debêntures,PRIMARIA,Oferta Encerrada,EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.,12.272.084/0001-00,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"250.000.000,0000",05/09/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True
21941,4246,2571/2025,SRE/2570/2025,CVM/SRE/AUT/DEB/PRI/2025/641,Debêntures,PRIMARIA,Oferta Encerrada,EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A,06.840.748/0001-89,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"250.000.000,0000",05/09/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True
21942,4246,2572/2025,SRE/2571/2025,CVM/SRE/AUT/DEB/PRI/2025/639;CVM/SRE/AUT/DEB/PRI/2025/640,Debêntures,PRIMARIA,Oferta Encerrada,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A.,01.543.032/0001-04,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"1.500.000.000,0000",05/09/2025,OPD Aut Profissional - com bookbuilding,False,True,True
21964,4246,2594/2025,SRE/2592/2025,CVM/SRE/AUT/DEB/PRI/2025/638,Debêntures,PRIMARIA,Oferta Encerrada,ALGAR TELECOM S/A,71.208.516/0001-74,"UBS BB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",02.819.125/0001-73,"400.000.000,0000",04/09/2025,OPD Aut Profissional - com bookbuilding,False,True,True
21751,4246,2430/2025,SRE/2429/2025,CVM/SRE/AUT/DEB/PRI/2025/636,Debêntures,PRIMARIA,Oferta Encerrada,VIVARA PARTICIPACOES S.A.,33.839.910/0001-11,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"300.000.000,0000",04/09/2025,OPD Aut Profissional - com bookbuilding,False,True,True
22011,4246,2669/2025,SRE/2668/2025,CVM/SRE/AUT/DEB/PRI/2025/635,Debêntures,PRIMARIA,Oferta Encerrada,LOJAS QUERO QUERO S.A.,96.418.264/0218-02,"UBS BB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",02.819.125/0001-73,"85.000.000,0000",03/09/2025,OPD Aut Profissional - com bookbuilding,False,True,True
21839,4246,2515/2025,SRE/2514/2025,CVM/SRE/AUT/DEB/PRI/2025/634,Debêntures,PRIMARIA,Oferta Encerrada,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,07.594.978/0001-78,BTG PACTUAL INVESTMENT BANKING LTDA.,46.482.072/0001-13,"536.004.000,0000",03/09/2025,OPD Aut Profissional - com bookbuilding,False,True,True
